Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
1176|Unit 20|缝合|fénghé||suture|缝合伤口|fénghé shāngkǒu|suture a wound
1177|Unit 20|讽刺|fěngcì||satirize|讽刺画；讽刺别人|fěngcìhuà; fěngcì biérén|satirical cartoon; satirize others
1178|Unit 20|凤凰|fènghuáng||phoenix|凤凰是传说中的动物|fènghuáng shì chuánshuō zhōng de dòngwù|the phoenix is a legendary animal
1179|Unit 20|缝|fèng||seam; crack|门缝；见缝插针|ménfèng; jiàn fèng chā zhēn|door crack; make use of every bit of available space
1180|Unit 20|否决|fǒujué||veto|被否决；全票否决|bèi fǒujué; quánpiào fǒujué|be vetoed; reject by unanimous vote
1181|Unit 20|孵化|fūhuà||hatch|人工孵化；孵化小鸡|réngōng fūhuà; fūhuà xiǎojī|artificial incubation; hatch chicks
1182|Unit 20|敷|fū||apply; be sufficient|敷药；外敷|fū yào; wài fū|apply medicine; apply externally
1183|Unit 20|扶持|fúchí||support|扶持乡村小学建设；大力扶持中小型企业|fúchí xiāngcūn xiǎoxué jiànshè; dàlì fúchí zhōng-xiǎoxíng qǐyè|support the construction of rural primary schools; strongly support small and medium-sized enterprises
1184|Unit 20|服饰|fúshì||dress; adornment|流行服饰；漂亮的服饰|liúxíng fúshì; piàoliang de fúshì|popular clothing; beautiful clothing and accessories
1185|Unit 20|服务器|fúwùqì||server|通信服务器；租用网络服务器|tōngxìn fúwùqì; zūyòng wǎngluò fúwùqì|communication server; rent a network server
1186|Unit 20|服用|fúyòng||take medicine|饭后服用；服用中药|fànhòu fúyòng; fúyòng zhōngyào|take after meals; take Chinese medicine
1187|Unit 20|俘获|fúhuò||capture|俘获敌人；被俘获|fúhuò dírén; bèi fúhuò|capture the enemy; be captured
1188|Unit 20|俘虏|fúlǔ||captive|交换俘虏；释放俘虏|jiāohuàn fúlǔ; shìfàng fúlǔ|exchange captives; release captives
1189|Unit 20|浮力|fúlì||buoyancy|海水的浮力比较大；依靠浮力|hǎishuǐ de fúlì bǐjiào dà; yīkào fúlì|seawater has relatively strong buoyancy; rely on buoyancy
1190|Unit 20|浮现|fúxiàn||appear in one's mind|浮现在眼前；脸上浮现出笑容|fúxiàn zài yǎnqián; liǎn shàng fúxiàn chū xiàoróng|appear before one's eyes; a smile appears on the face
1191|Unit 20|浮躁|fúzào||impetuous|浮躁不安；浮躁的心|fúzào bù'ān; fúzào de xīn|restless and impatient; an impetuous mind
1192|Unit 20|辐射|fúshè||radiate|核辐射；受到辐射|hé fúshè; shòudào fúshè|nuclear radiation; be exposed to radiation
1193|Unit 20|福气|fúqì||good fortune|有福气；福气大|yǒu fúqì; fúqì dà|be fortunate; have great good fortune
1194|Unit 20|抚摸|fǔmō||stroke|抚摸着孩子的脸；轻轻抚摸|fǔmō zhe háizi de liǎn; qīngqīng fǔmō|stroke the child's face; stroke gently
1195|Unit 20|抚恤|fǔxù||console and compensate|抚恤金；抚恤受工伤的人员|fǔxùjīn; fǔxù shòu gōngshāng de rényuán|compensation payment; compensate workers injured on the job
1196|Unit 20|抚养|fǔyǎng||raise; bring up|抚养孩子长大成人；抚养子女|fǔyǎng háizi zhǎngdà chéngrén; fǔyǎng zǐnǚ|raise a child to adulthood; raise children
1197|Unit 20|抚养费|fǔyǎngfèi||maintenance|提供抚养费；子女抚养费|tígōng fǔyǎngfèi; zǐnǚ fǔyǎngfèi|provide child support; child support payments
1198|Unit 20|斧子|fǔzi||axe|一把斧子；用斧子砍|yì bǎ fǔzi; yòng fǔzi kǎn|an axe; chop with an axe
1199|Unit 20|俯首|fǔshǒu||bow down; obey|俯首认罪；俯首听命|fǔshǒu rènzuì; fǔshǒu tīngmìng|bow one's head and confess; submit obediently
1200|Unit 20|辅导|fǔdǎo||tutor; guide|辅导作业；辅导功课|fǔdǎo zuòyè; fǔdǎo gōngkè|help with homework; tutor schoolwork
